flug_id,flugnr,kapazitaet,Anzahl_von_Buchungen,5%_Yes/No
119,AM5831,50,3,Yes
120,AM6317,420,22,Yes
121,AM6427,644,36,Yes
122,AM6443,420,21,No
123,AM6746,79,3,No
124,AM6843,79,4,Yes
125,AM7092,380,18,No
126,AM7100,79,3,No
127,AM7134,95,4,No
128,AM7321,644,31,No
129,AM8003,78,4,Yes
130,AM8295,200,10,No
131,AM8429,150,7,No
132,AM8756,50,2,No
133,AM8807,115,4,No
134,AM8870,50,2,No
135,AM9059,115,6,Yes
136,AM9153,95,4,No
137,AM9291,335,17,Yes
138,AM9379,644,32,No
139,AN1018,114,6,Yes
140,AN1079,95,5,Yes
141,AN1148,79,4,Yes
142,AN1181,335,17,Yes
143,AN1250,95,5,Yes
144,AN1303,420,21,No
145,AN1327,114,6,Yes
146,AN1357,420,21,No
147,AN1361,420,21,No
148,AN1559,420,19,No
149,AN1635,115,6,Yes
150,AN1966,114,6,Yes
151,AN2320,78,4,Yes
152,AN2405,114,6,Yes
153,AN2447,95,5,Yes
154,AN2706,50,2,No
155,AN2813,420,22,Yes
156,AN2983,380,18,No
157,AN3245,420,20,No
158,AN4105,78,4,Yes
159,AN4188,335,18,Yes
160,AN4301,78,3,No
161,AN4318,114,6,Yes
162,AN4477,420,19,No
163,AN5615,335,16,No
164,AN5834,95,5,Yes
165,AN5932,78,4,Yes
166,AN6142,50,2,No
167,AN6313,50,2,No
168,AN6729,420,21,No
169,AN7167,335,15,No
170,AN7181,335,17,Yes
171,AN7391,79,4,Yes
172,AN7491,335,17,Yes
173,AN7888,78,4,Yes
174,AN8133,79,4,Yes
175,AN8787,380,20,Yes
176,AN8947,50,2,No
177,AN8979,420,21,No
178,AN9101,335,18,Yes
179,AN9864,420,23,Yes
180,AN9927,335,17,Yes
181,AN9994,115,6,Yes
182,AR1368,420,21,No
183,AR1426,420,21,No
184,AR1679,200,9,No
185,AR1732,150,7,No
186,AR1856,380,20,Yes
187,AR2090,114,6,Yes
188,AR2319,114,5,No
189,AR2481,420,20,No
190,AR2555,50,3,Yes
191,AR2642,200,11,Yes
192,AR2690,150,7,No
193,AR2801,380,18,No
194,AR2952,380,20,Yes
195,AR2983,95,5,Yes
196,AR3082,114,7,Yes
197,AR4575,200,10,No
198,AR4694,95,5,Yes
199,AR5052,114,6,Yes
200,AR5150,644,30,No
201,AR5330,150,8,Yes
202,AR5965,150,7,No
203,AR6135,115,7,Yes
204,AR6314,335,16,No
205,AR6368,114,5,No
206,AR6507,420,21,No
207,AR7239,150,8,Yes
208,AR7493,78,4,Yes
209,AR7673,200,11,Yes
210,AR7721,380,18,No
211,AR7779,200,9,No
212,AR7799,114,5,No
213,AR8083,78,4,Yes
214,AR8541,200,9,No
215,AR8607,79,3,No
216,AR9187,115,5,No
217,AR9255,78,4,Yes
218,AR9377,150,7,No
219,AR9453,380,18,No
220,AR9625,335,16,No
221,AR9628,150,7,No
222,AR9693,114,6,Yes
223,AU1011,644,33,Yes
224,AU1087,78,3,No
225,AU1151,420,22,Yes
226,AU1216,420,21,No
227,AU1250,150,7,No
228,AU1273,420,22,Yes
229,AU1312,150,9,Yes
230,AU1510,200,11,Yes
231,AU1513,95,5,Yes
232,AU1570,420,21,No
233,AU1765,150,7,No
234,AU2018,78,4,Yes
235,AU2449,50,3,Yes
236,AU2633,644,32,No
237,AU2719,79,5,Yes
238,AU2786,95,5,Yes
239,AU2940,78,4,Yes
240,AU3342,644,32,No
241,AU3533,644,30,No
242,AU3542,150,7,No
243,AU3794,115,6,Yes
244,AU4376,380,20,Yes
245,AU4382,150,8,Yes
246,AU4385,114,5,No
247,AU4409,644,34,Yes
248,AU4433,644,33,Yes
249,AU5795,95,5,Yes
250,AU6037,380,19,No
251,AU6409,420,20,No
252,AU6438,420,21,No
253,AU7110,95,4,No
254,AU7445,95,5,Yes
255,AU7517,420,20,No
256,AU7928,420,19,No
257,AU7996,50,3,Yes
258,AU8109,200,10,No
259,AU8731,78,3,No
260,AU9197,78,4,Yes
261,AU9336,420,22,Yes
262,AU9358,115,5,No
263,AU9660,150,6,No
264,AU9821,79,2,No
265,AU9916,115,6,Yes
266,AZ1009,79,4,Yes
267,AZ1260,420,19,No
268,AZ1323,150,9,Yes
269,AZ1358,95,4,No
270,AZ1395,78,4,Yes
271,AZ1469,420,22,Yes
272,AZ1481,95,5,Yes
273,AZ1494,50,2,No
274,AZ1667,115,5,No
275,AZ1714,420,21,No
276,AZ1952,115,7,Yes
277,AZ2093,79,3,No
278,AZ2591,50,2,No
279,AZ2852,50,2,No
280,AZ2937,78,4,Yes
281,AZ2941,78,2,No
282,AZ3419,78,3,No
283,AZ3453,420,22,Yes
284,AZ4095,420,20,No
285,AZ4298,420,21,No
286,AZ4466,115,7,Yes
287,AZ4893,115,6,Yes
288,AZ5330,115,6,Yes
289,AZ5407,79,5,Yes
290,AZ6198,79,4,Yes
291,AZ6570,79,4,Yes
292,AZ6611,79,4,Yes
293,AZ6819,335,16,No
294,AZ7026,150,7,No
295,AZ7862,78,3,No
296,AZ8240,115,6,Yes
297,AZ8700,420,22,Yes
298,AZ9480,420,19,No
299,AZ9607,115,5,No
300,BA1075,95,4,No
301,BA1153,380,19,No
302,BA1229,420,22,Yes
303,BA1240,50,3,Yes
304,BA1290,420,19,No
305,BA1296,200,11,Yes
306,BA1357,95,5,Yes
307,BA1554,50,3,Yes
308,BA1656,95,6,Yes
309,BA1880,115,6,Yes
310,BA1954,200,10,No
311,BA2151,420,22,Yes
312,BA2689,79,3,No
313,BA2752,420,22,Yes
314,BA2823,150,8,Yes
315,BA3041,115,5,No
316,BA3076,50,2,No
317,BA3079,78,5,Yes
318,BA3419,420,21,No
319,BA3515,50,2,No
320,BA3591,79,3,No
321,BA3846,200,9,No
322,BA3991,50,2,No
323,BA4024,79,4,Yes
324,BA4118,200,10,No
325,BA4153,78,4,Yes
326,BA4525,420,22,Yes
327,BA4624,115,5,No
328,BA4654,79,5,Yes
329,BA5047,95,5,Yes
330,BA5489,78,2,No
331,BA5674,380,19,No
332,BA5867,114,6,Yes
333,BA5880,200,10,No
334,BA6163,380,18,No
335,BA6400,420,22,Yes
336,BA7042,50,3,Yes
337,BA7128,200,9,No
338,BA7254,114,6,Yes
339,BA7473,420,21,No
340,BA7571,79,5,Yes
341,BA7844,420,20,No
342,BA8702,78,5,Yes
343,BA8844,95,5,Yes
344,BA8877,420,22,Yes
345,BA8922,79,4,Yes
346,BA9240,380,19,No
347,BA9261,420,20,No
348,BA9283,335,18,Yes
349,BA9287,95,5,Yes
350,BA9327,79,5,Yes
351,BA9646,420,20,No
352,BA9814,420,20,No
353,BA9877,420,21,No
354,BE1173,95,5,Yes
355,BE1190,200,9,No
356,BE1353,200,9,No
357,BE1381,644,31,No
358,BE1595,150,8,Yes
359,BE1705,420,20,No
360,BE1748,335,16,No
361,BE1814,78,4,Yes
362,BE1841,420,21,No
363,BE1928,150,8,Yes
364,BE2160,50,2,No
365,BE2355,79,4,Yes
366,BE2524,95,5,Yes
367,BE2624,420,20,No
368,BE2875,95,6,Yes
369,BE2911,644,32,No
370,BE3038,200,11,Yes
371,BE3086,420,19,No
372,BE3101,79,4,Yes
373,BE3401,200,9,No
374,BE3845,79,4,Yes
375,BE4124,200,9,No
376,BE4164,79,3,No
377,BE4225,200,11,Yes
378,BE5154,335,16,No
379,BE6407,50,3,Yes
380,BE6493,150,9,Yes
381,BE6538,335,19,Yes
382,BE6699,78,4,Yes
383,BE6752,79,3,No
384,BE6781,79,3,No
385,BE6864,420,22,Yes
386,BE7134,420,22,Yes
387,BE7234,380,18,No
388,BE7298,79,3,No
389,BE7906,380,18,No
390,BE8019,420,20,No
391,BE8501,150,7,No
392,BE9463,420,18,No
393,BE9486,150,6,No
394,BE9521,380,18,No
395,BE9690,95,4,No
396,BE9838,420,21,No
397,BE9860,380,18,No
398,BH1177,78,3,No
399,BH1404,114,5,No
400,BH1470,644,32,No
401,BH1526,115,4,No
402,BH1619,420,20,No
403,BH1664,150,8,Yes
404,BH1799,420,21,No
405,BH1870,79,4,Yes
406,BH2116,150,6,No
407,BH2236,420,20,No
408,BH2473,420,20,No
409,BH2626,335,16,No
410,BH2725,420,21,No
411,BH3467,644,31,No
412,BH3558,50,3,Yes
413,BH3616,420,20,No
414,BH4486,420,19,No
415,BH4652,420,20,No
416,BH4805,420,23,Yes
417,BH4890,50,2,No
418,BH5049,644,29,No
419,BH5606,150,7,No
420,BH5680,380,17,No
421,BH6065,200,10,No
422,BH6324,115,6,Yes
423,BH6471,335,16,No
424,BH6516,150,7,No
425,BH6695,50,2,No
426,BH6886,150,8,Yes
427,BH7023,200,11,Yes
428,BH7157,115,6,Yes
429,BH7338,380,20,Yes
430,BH7394,335,16,No
431,BH7480,115,5,No
432,BH7758,150,8,Yes
433,BH7862,79,4,Yes
434,BH8077,420,21,No
435,BH8298,79,3,No
436,BH8347,115,6,Yes
437,BH9173,115,5,No
438,BH9201,644,33,Yes
439,BH9646,420,23,Yes
440,BH9773,95,4,No
441,BO1352,115,5,No
442,BO1663,380,18,No
443,BO1669,150,7,No
444,BO1749,114,6,Yes
445,BO1841,50,2,No
446,BO1862,150,8,Yes
447,BO2341,150,6,No
448,BO2759,150,8,Yes
449,BO3119,380,20,Yes
450,BO3163,115,5,No
451,BO4504,150,6,No
452,BO4820,335,16,No
453,BO4983,50,2,No
454,BO5280,50,3,Yes
455,BO5519,115,6,Yes
456,BO5598,150,7,No
457,BO5633,50,2,No
458,BO5646,150,8,Yes
459,BO5692,50,3,Yes
460,BO5817,335,19,Yes
461,BO6127,50,2,No
462,BO6504,150,8,Yes
463,BO6785,335,17,Yes
464,BO7181,380,19,No
465,BO7408,115,6,Yes
466,BO7576,335,16,No
467,BO7772,115,5,No
468,BO8017,115,5,No
469,BO8316,115,5,No
470,BO8449,115,6,Yes
471,BO8652,50,3,Yes
472,BO8889,150,7,No
473,BO9129,50,3,Yes
474,BO9271,380,19,No
475,BO9449,50,3,Yes
476,BO9579,114,5,No
477,BO9601,50,3,Yes
478,BO9620,50,2,No
479,BO9661,50,2,No
480,BO9839,50,3,Yes
481,BR1059,114,6,Yes
482,BR1165,420,21,No
483,BR1241,380,20,Yes
484,BR1327,115,7,Yes
485,BR1331,644,32,No
486,BR1457,200,9,No
487,BR1463,114,4,No
488,BR1643,114,6,Yes
489,BR1646,420,20,No
490,BR1720,79,4,Yes
491,BR1764,50,2,No
492,BR1994,50,3,Yes
493,BR2105,335,17,Yes
494,BR2253,335,17,Yes
495,BR2261,420,21,No
496,BR2464,200,9,No
497,BR2511,420,23,Yes
498,BR2895,335,17,Yes
499,BR3060,380,19,No
500,BR3188,114,5,No
501,BR3192,115,6,Yes
502,BR4282,200,9,No
503,BR4296,150,8,Yes
504,BR4510,50,4,Yes
505,BR4561,420,22,Yes
506,BR4864,200,9,No
507,BR4921,150,7,No
508,BR5241,115,5,No
509,BR5282,50,2,No
510,BR5338,200,9,No
511,BR5522,95,5,Yes
512,BR5541,78,4,Yes
513,BR6735,380,19,No
514,BR6989,420,21,No
515,BR7015,79,4,Yes
516,BR7188,115,5,No
517,BR7232,420,20,No
518,BR7488,420,21,No
519,BR8033,380,19,No
520,BR8073,95,3,No
521,BR8074,150,9,Yes
522,BR8117,78,4,Yes
523,BR8279,200,10,No
524,BR8471,644,31,No
525,BR8594,78,4,Yes
526,BR8682,380,18,No
527,BR8974,114,6,Yes
528,BR9007,150,6,No
529,BR9010,114,6,Yes
530,BR9062,420,21,No
531,BR9379,644,33,Yes
532,BR9482,95,5,Yes
533,BR9608,78,4,Yes
534,BR9914,114,5,No
535,BR9931,380,20,Yes
536,BU1060,79,4,Yes
537,BU1156,78,4,Yes
538,BU1235,420,20,No
539,BU1379,380,17,No
540,BU1410,380,18,No
541,BU1439,95,5,Yes
542,BU1622,380,20,Yes
543,BU1634,78,4,Yes
544,BU2275,420,20,No
545,BU2525,50,2,No
546,BU2566,335,16,No
547,BU3103,79,4,Yes
548,BU3250,50,2,No
549,BU3395,420,22,Yes
550,BU3447,380,19,No
551,BU3471,50,2,No
552,BU3608,50,3,Yes
553,BU3755,79,4,Yes
554,BU3939,335,17,Yes
555,BU3972,79,3,No
556,BU4367,335,18,Yes
557,BU4371,79,5,Yes
558,BU4491,335,17,Yes
559,BU4980,79,3,No
560,BU5034,95,5,Yes
561,BU5095,79,3,No
562,BU5380,200,9,No
563,BU5752,200,9,No
564,BU5810,420,19,No
565,BU5829,50,4,Yes
566,BU5890,95,5,Yes
567,BU6083,78,4,Yes
568,BU6531,79,4,Yes
569,BU6607,78,5,Yes
570,BU6776,79,5,Yes
571,BU7418,420,21,No
572,BU7981,79,5,Yes
573,BU8116,420,19,No
574,BU8279,380,17,No
575,BU8995,335,17,Yes
576,BU9137,420,20,No
577,BU9204,79,4,Yes
578,BU9494,200,10,No
579,BU9554,380,19,No
580,BU9578,79,4,Yes
581,BU9691,420,21,No
582,CA1041,380,19,No
583,CA1134,150,7,No
584,CA1267,200,10,No
585,CA1300,95,4,No
586,CA1367,380,17,No
587,CA1443,644,34,Yes
588,CA1546,79,2,No
589,CA1945,78,4,Yes
590,CA2097,380,20,Yes
591,CA2301,115,5,No
592,CA2559,78,5,Yes
593,CA2659,115,6,Yes
594,CA2740,420,21,No
595,CA2801,200,9,No
596,CA3093,79,3,No
597,CA3179,644,31,No
598,CA3326,150,7,No
599,CA3419,420,20,No
600,CA4657,644,34,Yes
601,CA5046,380,20,Yes
602,CA5112,50,3,Yes
603,CA5870,79,4,Yes
604,CA5958,95,5,Yes
605,CA6003,50,3,Yes
606,CA6175,200,9,No
607,CA6257,79,4,Yes
608,CA6407,79,5,Yes
609,CA7096,420,21,No
610,CA7309,150,8,Yes
611,CA7336,115,5,No
612,CA7502,200,11,Yes
613,CA7832,335,15,No
614,CA7938,79,4,Yes
615,CA8094,95,6,Yes
616,CA8173,115,7,Yes
617,CA8553,335,17,Yes
618,CA8640,114,6,Yes
619,CA9134,200,8,No
620,CA9206,335,18,Yes
621,CA9395,150,6,No
622,CA9503,114,5,No
623,CA9858,114,6,Yes
624,CA9998,95,5,Yes
625,CE1083,200,9,No
626,CE1110,335,16,No
627,CE1393,50,3,Yes
628,CE1573,78,5,Yes
629,CE1591,335,17,Yes
630,CE1635,335,17,Yes
631,CE1678,644,30,No
632,CE1745,50,2,No
633,CE1746,115,5,No
634,CE1850,200,10,No
635,CE1871,114,5,No
636,CE1918,420,20,No
637,CE2276,420,22,Yes
638,CE2441,95,3,No
639,CE2446,644,31,No
640,CE2564,79,4,Yes
641,CE2749,420,21,No
642,CE2962,50,2,No
643,CE3211,115,7,Yes
644,CE3838,644,29,No
645,CE3855,114,5,No
646,CE4036,95,4,No
647,CE4354,380,20,Yes
648,CE4362,380,18,No
649,CE4422,200,11,Yes
650,CE5031,380,19,No
651,CE5286,380,19,No
652,CE5613,78,3,No
653,CE5812,644,31,No
654,CE6455,380,18,No
655,CE6818,95,4,No
656,CE6875,335,16,No
657,CE7156,78,4,Yes
658,CE7243,420,19,No
659,CE7579,200,10,No
660,CE7739,335,15,No
661,CE7957,200,9,No
662,CE8618,95,5,Yes
663,CE8667,115,7,Yes
664,CE8964,380,19,No
665,CE9168,380,18,No
666,CE9179,115,6,Yes
667,CE9267,79,4,Yes
668,CE9804,78,4,Yes
669,CH1087,150,8,Yes
670,CH1136,50,3,Yes
671,CH1143,115,6,Yes
672,CH1161,380,21,Yes
673,CH1176,420,21,No
674,CH1230,78,4,Yes
675,CH1478,50,2,No
676,CH1533,335,16,No
677,CH1596,50,3,Yes
678,CH1620,200,9,No
679,CH1708,78,4,Yes
680,CH2311,200,9,No
681,CH2646,420,22,Yes
682,CH2842,78,4,Yes
683,CH2864,78,4,Yes
684,CH2955,420,22,Yes
685,CH3331,114,7,Yes
686,CH3570,78,4,Yes
687,CH3819,95,4,No
688,CH3843,150,7,No
689,CH3957,380,19,No
690,CH4035,115,5,No
691,CH4141,644,33,Yes
692,CH4991,420,20,No
693,CH5007,200,11,Yes
694,CH5270,380,19,No
695,CH5372,420,20,No
696,CH5390,644,31,No
697,CH5900,78,3,No
698,CH6845,380,19,No
699,CH7394,78,2,No
700,CH7487,200,11,Yes
701,CH7790,644,32,No
702,CH7910,420,21,No
703,CH7997,644,30,No
704,CH8297,78,5,Yes
705,CH8517,50,2,No
706,CH9385,380,17,No
707,CH9559,78,4,Yes
708,CH9921,200,9,No
709,CO1168,50,2,No
710,CO1205,78,4,Yes
711,CO1324,95,5,Yes
712,CO1679,114,5,No
713,CO1780,79,3,No
714,CO1795,335,16,No
715,CO2518,79,4,Yes
716,CO3238,420,19,No
717,CO3502,335,16,No
718,CO3531,335,16,No
719,CO3846,420,19,No
720,CO4389,78,5,Yes
721,CO4433,115,5,No
722,CO4542,420,21,No
723,CO4638,420,19,No
724,CO4935,79,4,Yes
725,CO4989,420,22,Yes
726,CO6302,115,6,Yes
727,CO6787,95,5,Yes
728,CO6862,115,6,Yes
729,CO6887,50,3,Yes
730,CO6890,79,4,Yes
731,CO6961,78,4,Yes
732,CO7317,335,18,Yes
733,CO7486,115,6,Yes
734,CO7702,380,20,Yes
735,CO7747,644,31,No
736,CO8292,78,4,Yes
737,CO8648,420,19,No
738,CO8820,644,28,No
739,CO9550,115,5,No
740,CO9742,78,5,Yes
741,CO9860,79,4,Yes
742,CR1062,335,16,No
743,CR1163,50,3,Yes
744,CR1313,150,7,No
745,CR1574,114,6,Yes
746,CR1655,200,10,No
747,CR1783,95,5,Yes
748,CR1829,380,19,No
749,CR1839,420,19,No
750,CR1934,150,6,No
751,CR2133,115,6,Yes
752,CR2192,115,6,Yes
753,CR2474,50,2,No
754,CR2637,114,6,Yes
755,CR2699,644,32,No
756,CR2711,114,6,Yes
757,CR2744,114,5,No
758,CR2868,115,6,Yes
759,CR3000,644,29,No
760,CR3703,420,21,No
761,CR3967,644,31,No
762,CR4014,335,17,Yes
763,CR4451,644,30,No
764,CR4936,420,21,No
765,CR5285,644,34,Yes
766,CR5382,150,7,No
767,CR5469,78,5,Yes
768,CR5783,78,4,Yes
769,CR6099,78,3,No
770,CR6175,335,15,No
771,CR6194,420,21,No
772,CR6448,114,5,No
773,CR6955,380,17,No
774,CR7196,150,6,No
775,CR7214,335,18,Yes
776,CR7318,420,21,No
777,CR7465,420,20,No
778,CR7636,115,6,Yes
779,CR7980,50,3,Yes
780,CR8222,380,17,No
781,CR8374,420,21,No
782,CR8815,644,33,Yes
783,CR8878,95,4,No
784,CR8947,335,16,No
785,CR9165,380,19,No
786,CR9248,380,19,No
787,CR9596,50,2,No
788,CR9747,78,4,Yes
789,CR9841,115,6,Yes
790,CR9857,380,19,No
791,CR9954,114,5,No
792,CU1023,50,2,No
793,CU1186,335,17,Yes
794,CU1710,335,16,No
795,CU1763,95,5,Yes
796,CU1852,420,22,Yes
797,CU2020,50,2,No
798,CU2133,95,4,No
799,CU2585,50,2,No
800,CU3233,200,10,No
801,CU3614,420,20,No
802,CU3699,150,7,No
803,CU3726,420,22,Yes
804,CU4264,115,5,No
805,CU4384,200,10,No
806,CU4393,95,5,Yes
807,CU4423,420,19,No
808,CU5189,420,21,No
809,CU5255,50,3,Yes
810,CU5392,420,20,No
811,CU5667,420,24,Yes
812,CU5727,335,17,Yes
813,CU5776,420,22,Yes
814,CU5972,420,21,No
815,CU6055,420,22,Yes
816,CU6108,335,17,Yes
817,CU6188,420,23,Yes
818,CU6641,115,7,Yes
819,CU6789,335,17,Yes
820,CU6821,95,4,No
821,CU6915,78,4,Yes
822,CU7424,200,10,No
823,CU7767,114,5,No
824,CU7945,78,4,Yes
825,CU8154,420,20,No
826,CU8306,114,5,No
827,CU8668,420,21,No
828,CU8821,335,16,No
829,CU8969,335,18,Yes
830,CU9497,79,5,Yes
831,CU9956,420,20,No
832,CY1096,50,3,Yes
833,CY1116,79,5,Yes
834,CY1294,644,33,Yes
835,CY1407,420,20,No
836,CY1422,150,7,No
837,CY1438,644,32,No
838,CY1488,420,21,No
839,CY1649,335,17,Yes
840,CY1950,420,20,No
841,CY1964,95,6,Yes
842,CY2031,200,11,Yes
843,CY2388,380,18,No
844,CY2391,78,4,Yes
845,CY2555,380,19,No
846,CY2779,78,5,Yes
847,CY2880,78,3,No
848,CY3041,114,6,Yes
849,CY3337,380,20,Yes
850,CY3427,420,22,Yes
851,CY3473,114,6,Yes
852,CY4377,380,18,No
853,CY4389,335,12,No
854,CY4872,95,4,No
855,CY4874,200,9,No
856,CY5534,420,19,No
857,CY5817,420,21,No
858,CY5833,420,22,Yes
859,CY5848,50,2,No
860,CY6018,335,17,Yes
861,CY6128,335,15,No
862,CY6186,95,5,Yes
863,CY6235,79,4,Yes
864,CY6681,95,5,Yes
865,CY6939,335,17,Yes
866,CY7053,150,9,Yes
867,CY7099,200,11,Yes
868,CY7254,78,4,Yes
869,CY7360,150,8,Yes
870,CY7516,335,17,Yes
871,CY7521,50,3,Yes
872,CY7533,50,3,Yes
873,CY7625,380,20,Yes
874,CY7935,114,7,Yes
875,CY7944,200,10,No
876,CY7967,420,21,No
877,CY8353,200,11,Yes
878,CY8683,50,3,Yes
879,CY9092,380,19,No
880,CY9095,200,9,No
881,CY9125,114,6,Yes
882,CY9436,95,4,No
883,CY9876,644,32,No
884,CZ1038,420,20,No
885,CZ1106,114,4,No
886,CZ1115,420,22,Yes
887,CZ1379,150,8,Yes
888,CZ1468,114,6,Yes
889,CZ1482,78,5,Yes
890,CZ1539,420,22,Yes
891,CZ1716,335,17,Yes
892,CZ2050,200,11,Yes
893,CZ2277,420,21,No
894,CZ2316,150,7,No
895,CZ2466,115,6,Yes
896,CZ2670,79,4,Yes
897,CZ2726,380,18,No
898,CZ2766,115,6,Yes
899,CZ3787,115,6,Yes
900,CZ4343,420,21,No
901,CZ4539,115,5,No
902,CZ4708,380,17,No
903,CZ4713,335,17,Yes
904,CZ4826,200,9,No
905,CZ4948,380,18,No
906,CZ5200,380,18,No
907,CZ5914,78,4,Yes
908,CZ6175,335,16,No
909,CZ6248,78,4,Yes
910,CZ6486,115,5,No
911,CZ6680,115,5,No
912,CZ7237,420,21,No
913,CZ7251,150,7,No
914,CZ7441,420,21,No
915,CZ7759,150,4,No
916,CZ8004,114,6,Yes
917,CZ8738,79,3,No
918,CZ8966,150,8,Yes
919,CZ8994,78,3,No
920,CZ9002,150,9,Yes
921,CZ9571,115,5,No
922,DA1006,644,30,No
923,DA1070,644,34,Yes
924,DA1091,78,4,Yes
925,DA1162,200,11,Yes
926,DA1241,78,4,Yes
927,DA1268,78,4,Yes
928,DA1296,114,5,No
929,DA1490,420,19,No
930,DA1858,420,19,No
931,DA1910,420,22,Yes
932,DA2531,79,4,Yes
933,DA2795,200,10,No
934,DA2912,78,4,Yes
935,DA2926,420,20,No
936,DA2975,95,5,Yes
937,DA3014,200,8,No
938,DA3077,79,3,No
939,DA3191,95,5,Yes
940,DA3266,150,8,Yes
941,DA3351,420,21,No
942,DA3452,200,11,Yes
943,DA4067,644,33,Yes
944,DA4471,114,4,No
945,DA4639,78,4,Yes
946,DA5247,420,20,No
947,DA5311,150,5,No
948,DA5327,644,31,No
949,DA5411,200,9,No
950,DA5688,420,21,No
951,DA6098,78,4,Yes
952,DA6480,644,31,No
953,DA6502,150,7,No
954,DA6685,200,10,No
955,DA6839,78,3,No
956,DA7106,50,2,No
957,DA7491,95,4,No
958,DA7679,644,32,No
959,DA7919,78,4,Yes
960,DA8202,114,6,Yes
961,DA8984,420,21,No
962,DA9172,114,5,No
963,DA9183,200,8,No
964,DA9212,79,5,Yes
965,DA9326,420,17,No
966,DA9424,114,5,No
967,DA9491,79,3,No
968,DA9574,78,4,Yes
969,DA9628,95,6,Yes
970,DE1091,115,7,Yes
971,DE1190,644,29,No
972,DE1374,420,20,No
973,DE1554,150,8,Yes
974,DE1800,114,6,Yes
975,DE1802,150,8,Yes
976,DE2348,78,4,Yes
977,DE2667,380,19,No
978,DE2710,79,5,Yes
979,DE3111,95,5,Yes
980,DE3458,335,16,No
981,DE3867,79,4,Yes
982,DE4317,114,5,No
983,DE4501,95,5,Yes
984,DE4536,150,8,Yes
985,DE4644,644,34,Yes
986,DE4869,78,4,Yes
987,DE5306,115,5,No
988,DE5469,115,5,No
989,DE5496,95,4,No
990,DE5641,78,4,Yes
991,DE5915,114,6,Yes
992,DE6458,150,7,No
993,DE6487,380,19,No
